Time,Position,Velocity
1723672562.2941585,"[ 0.00000000e+00 -2.21458889e-01  1.15639222e+00 -3.14151622e+00
 -2.53280468e-01  6.28763369e-05 -4.27158256e-01  1.57079366e+00]","[ 0.00000000e+00  2.12836805e-01  1.17359642e-01  0.00000000e+00
  2.38230029e-01 -1.05899522e-05  4.86175470e-01  0.00000000e+00]"
1723672562.2964742,"[ 0.00000000e+00 -2.21039175e-01  1.15662125e+00 -3.14151622e+00
 -2.52808556e-01  6.28763369e-05 -4.26157440e-01  1.57079366e+00]","[ 0.00000000e+00  2.12836805e-01  1.16563889e-01  0.00000000e+00
  2.38766174e-01 -1.05819570e-05  4.89416637e-01  0.00000000e+00]"
1723672562.2975657,"[ 0.00000000e+00 -2.20601884e-01  1.15686786e+00 -3.14151622e+00
 -2.52314273e-01  6.28763369e-05 -4.25199767e-01  1.57079366e+00]","[ 0.00000000e+00  2.13917199e-01  1.21543868e-01  0.00000000e+00
  2.41467152e-01 -1.05819570e-05  4.84603572e-01  0.00000000e+00]"
1723672562.2992618,"[ 0.00000000e+00 -2.20389363e-01  1.15698770e+00 -3.14151622e+00
 -2.52074589e-01  6.28763369e-05 -4.24686842e-01  1.57079366e+00]","[ 0.00000000e+00  2.15537783e-01  1.21543868e-01  0.00000000e+00
  2.43087735e-01 -1.05820616e-05  4.82980043e-01  0.00000000e+00]"
1723672562.301039,"[ 0.00000000e+00 -2.19946746e-01  1.15724483e+00 -3.14151622e+00
 -2.51596285e-01  6.28763369e-05 -4.23730767e-01  1.57079366e+00]","[ 0.00000000e+00  2.16663951e-01  1.26518944e-01  0.00000000e+00
  2.43087735e-01 -1.05900569e-05  4.86762164e-01  0.00000000e+00]"
1723672562.3021233,"[ 0.00000000e+00 -2.19730497e-01  1.15737119e+00 -3.14151622e+00
 -2.51339024e-01  6.28763369e-05 -4.23252464e-01  1.57079366e+00]","[ 0.00000000e+00  2.19319155e-01  1.28026201e-01  0.00000000e+00
  2.42014448e-01 -1.05819570e-05  4.85095059e-01  0.00000000e+00]"
1723672562.303791,"[ 0.00000000e+00 -2.19300663e-01  1.15763245e+00 -3.14151622e+00
 -2.50864448e-01  6.28763369e-05 -4.22245789e-01  1.57079366e+00]","[ 0.00000000e+00  2.17698572e-01  1.33158055e-01  0.00000000e+00
  2.39846551e-01 -1.05819570e-05  4.92117615e-01  0.00000000e+00]"
1723672562.3055274,"[ 0.00000000e+00 -2.19069501e-01  1.15776601e+00 -3.14151622e+00
 -2.50629025e-01  6.28763369e-05 -4.21758430e-01  1.57079366e+00]","[ 0.00000000e+00  2.17667030e-01  1.35588930e-01  0.00000000e+00
  2.38766174e-01 -1.05900569e-05  4.94278371e-01  0.00000000e+00]"
1723672562.3066416,"[ 0.00000000e+00 -2.18637003e-01  1.15805163e+00 -3.14151622e+00
 -2.50143264e-01  6.28763369e-05 -4.20765604e-01  1.57079366e+00]","[ 0.00000000e+00  2.19319155e-01  1.40308376e-01  0.00000000e+00
  2.35500605e-01 -1.05820616e-05  4.81976963e-01  0.00000000e+00]"
1723672562.3083978,"[ 0.00000000e+00 -2.18420755e-01  1.15819171e+00 -3.14151622e+00
 -2.49912635e-01  6.28763369e-05 -4.20292626e-01  1.57079366e+00]","[ 0.00000000e+00  2.19319155e-01  1.42071272e-01  0.00000000e+00
  2.34141877e-01 -1.05820616e-05  4.79693103e-01  0.00000000e+00]"
1723672562.3101459,"[ 0.00000000e+00 -2.17969615e-01  1.15848373e+00 -3.14151622e+00
 -2.49397047e-01  6.28763369e-05 -4.19350933e-01  1.57079366e+00]","[ 0.00000000e+00  2.21479928e-01  1.42071272e-01  0.00000000e+00
  2.34940509e-01 -1.05899522e-05  4.77532347e-01  0.00000000e+00]"
1723672562.3118763,"[ 0.00000000e+00 -2.17750171e-01  1.15862421e+00 -3.14151622e+00
 -2.49165352e-01  6.28763369e-05 -4.18845997e-01  1.57079366e+00]","[ 0.00000000e+00  2.22334819e-01  1.42611461e-01  0.00000000e+00
  2.34746714e-01 -1.05819570e-05  4.75457012e-01  0.00000000e+00]"
