"id","condition","AvgVelocity","MaxVelocity","AvgAccel","MaxAccel","PathLengthDifference","RangeX","RangeY","RangeZ","TimeElapsed"
"P29","A",0.809984468,4.797214811,9.260237134,63.08260536,0.332915151,0.380153485,0.16924854,0.402404203,6.409816504
"P29","B",0.299212788,1.862001843,5.335592493,63.52329223,0.130632023,0.328887158,0.134391259,0.360108834,8.843194246
"P29","C",0.439362358,2.123814229,7.426241011,61.13377823,0.116431677,0.268382829,0.026261931,0.366063071,6.425683498
"P29","D",0.654087939,3.723615752,9.687868215,64.34990292,0.532837692,0.275764055,0.256475252,0.362057042,12.74642134
"P29","E",0.31335001,1.884176559,3.246973229,61.05241492,0.722286702,0.365921664,0.037454853,0.381463875,13.73407078
"P29","F",0.524567234,3.726641559,5.631555034,60.72533509,0.550562593,0.50771559,0.015794728,0.317726245,15.71796107
"P29","G",0.157331446,1.076193042,2.165702766,60.64318706,0.203786742,0.264279033,0.024827635,0.371579292,11.44207096
"P29","H",0.638133083,3.062616731,9.864592772,65.36705569,0.138794975,0.303445795,0.03091482,0.367150057,4.169175386
"P2","A",3.541723263,9.538661063,51.25420127,489.7029926,0.125094239,0.251226229,0.047412156,0.061336218,1.215321064
"P2","B",0.279755961,2.645756041,5.349569232,64.34089219,0.013079155,0.281303236,0.00761519,0.051347179,4.517155647
"P2","C",0.186484821,1.113307129,4.086523755,64.11061619,0.008462132,0.343111723,0.022574901,0.03952059,2.838988781
"P2","D",2.915067495,9.712620969,75.48314132,629.4668531,0.45449038,0.326997971,0.232375395,0.086119965,6.466398001
"P2","E",4.053970626,9.696041895,59.99233854,540.6315074,0.202492722,0.331387922,0.160699182,0.1137957,5.192450047
"P2","F",1.591466181,7.685183284,18.41307652,100.5033955,0.082069808,0.323401351,0.009624484,0.227548761,4.200867653
"P2","G",1.477630508,10.18336113,32.54961778,480.167992,0.13060491,0.336404019,0.048296406,0.05653212,7.80042243
"P2","H",1.884178481,9.546768202,35.7873921,456.4515472,0.464723846,0.367958486,0.318777637,0.063008721,4.732845545
"P30","A",1.114526965,3.769709221,16.51523251,103.7754698,0.249900106,0.375392798,0.020406571,0.373523783,4.316014528
"P30","B",0.819386653,4.77980753,10.29510975,114.7177341,0.167265604,0.277574352,0.013193268,0.372973445,5.66017127
"P30","C",0.788782687,2.91230495,10.44655401,62.41012725,0.040816104,0.306284766,4.06e-05,0.365277339,3.791661739
"P30","D",1.2888468,8.326498326,16.73733973,123.4341147,0.215173689,0.350299633,0.092678408,0.373863587,10.4644599
"P30","E",2.615339407,9.631387678,34.83346062,490.2699574,0.89390792,0.33345982,0.209564942,0.393702631,8.421699524
"P30","F",0.793091361,2.120018455,12.75316102,119.55164,0.156518063,0.287664638,0.012804705,0.374119458,4.747181177
"P30","G",0.335308496,1.890118714,6.531707848,61.36568497,0.152036936,0.345140823,0.025145303,0.147760119,6.749697447
"P30","H",0.675925682,2.173084139,8.686857771,64.44483365,0.258108166,0.355108793,0.166148361,0.336443337,3.741933346
"P31","A",0.429126419,0.872368273,1.527847261,24.57782345,0.67466305,0.382749708,0.023956512,0.326169802,5.045120716
"P31","B",0.135117488,1.060724251,1.127132118,60.46238461,0.682636794,0.310753018,0.024896601,0.41655444,14.86819458
"P31","C",0.234743748,0.476720742,0.82728839,6.273483669,0.123470296,0.320034623,0.007202704,0.303888982,3.961051226
"P31","D",0.205655876,1.243679349,2.112732805,64.88840868,0.719357907,0.282081755,0.217534578,0.41466813,19.47519922
"P31","E",0.647440591,3.884379237,5.026729336,61.71615579,3.788922756,0.38840535,0.898013568,0.533306854,17.28644848
"P31","F",0.089617251,1.143411984,1.211377278,62.37318744,0.304953322,0.312407455,5.22e-05,0.304699227,26.50812149
"P31","G",0.233042147,0.531402941,0.94662688,10.94281622,1.668439028,0.401827625,0.654707463,0.326365983,15.01335144
"P31","H",0.46222961,1.188253136,3.072522454,63.18650375,2.120520919,0.450501522,0.60802395,0.379334639,12.0092783
"P3","A",2.276503016,9.54104527,32.09758084,471.1016807,0.03261528,0.305690566,0.027012953,0.043321565,1.678063869
"P3","B",0.691824262,5.82015295,7.762301431,108.2373273,0.049886436,0.339447747,0.015523854,0.197269591,8.149719954
"P3","C",0.28830202,1.09785906,4.863454155,63.72387246,0.024086829,0.314078398,0.002146747,0.347555741,3.332084179
"P3","D",2.516026142,9.583141823,33.8014294,508.8315234,2.282165061,0.36893188,0.666232764,0.652317059,5.222016096
"P3","E",2.401138496,9.8527855,27.58059945,477.170387,4.682718969,0.390622548,0.676442435,0.818558134,7.70599556
"P3","F",0.873457051,2.67044033,13.71906229,110.2798242,0.679249143,0.240956412,0.182264895,0.273322815,5.03436923
"P3","G",0.467674397,7.424044519,5.870993971,265.4154244,0.887846542,0.519861928,0.297792519,0.552229169,8.870667219
